year,avg_temp,7-yearMA,year,city,country,avg_temp,7-yearMA,,相关系数
1911,8.18,8.19,2002,Shanghai,China,17.22,16.89428571,,
1912,8.17,8.181428571,2003,Shanghai,China,16.74,16.97,,
1913,8.3,8.17,2004,Shanghai,China,17.24,17.03857143,,
1914,8.59,8.261428571,2005,Shanghai,China,16.75,16.92285714,,
1915,8.59,8.318571429,2006,Shanghai,China,17.41,17.02714286,,
1916,8.23,8.325714286,2007,Shanghai,China,17.63,17.13142857,,
1917,8.02,8.297142857,2008,Shanghai,China,16.72,17.10142857,,
1918,8.13,8.29,2009,Shanghai,China,17.01,17.07142857,,
1919,8.38,8.32,2010,Shanghai,China,16.75,17.07285714,,
1920,8.36,8.328571429,2011,Shanghai,China,16.52,16.97,,
1921,8.57,8.325714286,2012,Shanghai,China,16.47,16.93,,
1922,8.41,8.3,2013,Shanghai,China,17.86,16.99428571,,
1923,8.42,8.327142857,,,,,,,
1924,8.51,8.397142857,,,,,,,
1925,8.53,8.454285714,,,,,,,
1926,8.73,8.504285714,,,,,,,
1927,8.52,8.527142857,,,,,,,
1928,8.63,8.535714286,,,,,,,
1929,8.24,8.511428571,,,,,,,
1930,8.63,8.541428571,,,,,,,
1931,8.72,8.571428571,,,,,,,
1932,8.71,8.597142857,,,,,,,
1933,8.34,8.541428571,,,,,,,
1934,8.63,8.557142857,,,,,,,
1935,8.52,8.541428571,,,,,,,
1936,8.55,8.585714286,,,,,,,
1937,8.7,8.595714286,,,,,,,
1938,8.86,8.615714286,,,,,,,
1939,8.76,8.622857143,,,,,,,
1940,8.76,8.682857143,,,,,,,
1941,8.77,8.702857143,,,,,,,
1942,8.73,8.732857143,,,,,,,
1943,8.76,8.762857143,,,,,,,
1944,8.85,8.784285714,,,,,,,
1945,8.58,8.744285714,,,,,,,
1946,8.68,8.732857143,,,,,,,
1947,8.8,8.738571429,,,,,,,
1948,8.75,8.735714286,,,,,,,
1949,8.59,8.715714286,,,,,,,
1950,8.37,8.66,,,,,,,
1951,8.63,8.628571429,,,,,,,
1952,8.64,8.637142857,,,,,,,
1953,8.87,8.664285714,,,,,,,
1954,8.56,8.63,,,,,,,
1955,8.63,8.612857143,,,,,,,
1956,8.28,8.568571429,,,,,,,
1957,8.73,8.62,,,,,,,
1958,8.77,8.64,,,,,,,
1959,8.73,8.652857143,,,,,,,
1960,8.58,8.611428571,,,,,,,
1961,8.8,8.645714286,,,,,,,
1962,8.75,8.662857143,,,,,,,
1963,8.86,8.745714286,,,,,,,
1964,8.41,8.7,,,,,,,
1965,8.53,8.665714286,,,,,,,
1966,8.6,8.647142857,,,,,,,
1967,8.7,8.664285714,,,,,,,
1968,8.52,8.624285714,,,,,,,
1969,8.6,8.602857143,,,,,,,
1970,8.7,8.58,,,,,,,
1971,8.6,8.607142857,,,,,,,
1972,8.5,8.602857143,,,,,,,
1973,8.95,8.652857143,,,,,,,
1974,8.47,8.62,,,,,,,
1975,8.74,8.651428571,,,,,,,
1976,8.35,8.615714286,,,,,,,
1977,8.85,8.637142857,,,,,,,
1978,8.69,8.65,,,,,,,
1979,8.73,8.682857143,,,,,,,
1980,8.98,8.687142857,,,,,,,
1981,9.17,8.787142857,,,,,,,
1982,8.64,8.772857143,,,,,,,
1983,9.03,8.87,,,,,,,
1984,8.69,8.847142857,,,,,,,
1985,8.66,8.842857143,,,,,,,
1986,8.83,8.857142857,,,,,,,
1987,8.99,8.858571429,,,,,,,
1988,9.2,8.862857143,,,,,,,
1989,8.92,8.902857143,,,,,,,
1990,9.23,8.931428571,,,,,,,
1991,9.18,9.001428571,,,,,,,
1992,8.84,9.027142857,,,,,,,
1993,8.87,9.032857143,,,,,,,
1994,9.04,9.04,,,,,,,
1995,9.35,9.061428571,,,,,,,
1996,9.04,9.078571429,,,,,,,
1997,9.2,9.074285714,,,,,,,
1998,9.52,9.122857143,,,,,,,
1999,9.29,9.187142857,,,,,,,
2000,9.2,9.234285714,,,,,,,
2001,9.41,9.287142857,,,,,,,
2002,9.57,9.318571429,,,,,,,
2003,9.53,9.388571429,,,,,,,
2004,9.32,9.405714286,,,,,,,
2005,9.7,9.431428571,,,,,,,
2006,9.53,9.465714286,,,,,,,
2007,9.73,9.541428571,,,,,,,
2008,9.43,9.544285714,,,,,,,
2009,9.51,9.535714286,,,,,,,
2010,9.7,9.56,,,,,,,
2011,9.52,9.588571429,,,,,,,
2012,9.51,9.561428571,,,,,,,
2013,9.61,9.572857143,,,,,,,
2014,9.57,9.55,,,,,,,
2015,9.83,9.607142857,,,,,,,
