year,city,country,avg_temp,7-yearMA
1964,Shanghai,China,16.58,16.44571429
1965,Shanghai,China,16.06,16.44428571
1966,Shanghai,China,16.5,16.43857143
1967,Shanghai,China,16.05,16.36
1968,Shanghai,China,16.13,16.23285714
1969,Shanghai,China,15.64,16.16571429
1970,Shanghai,China,15.82,16.11142857
1971,Shanghai,China,16.22,16.06
1972,Shanghai,China,15.71,16.01
1973,Shanghai,China,16.32,15.98428571
1974,Shanghai,China,15.93,15.96714286
1975,Shanghai,China,16.48,16.01714286
1976,Shanghai,China,15.71,16.02714286
1977,Shanghai,China,16.17,16.07714286
1978,Shanghai,China,16.67,16.14142857
1979,Shanghai,China,16.54,16.26
1980,Shanghai,China,15.57,16.15285714
1981,Shanghai,China,15.91,16.15
1982,Shanghai,China,16.2,16.11
1983,Shanghai,China,16.22,16.18285714
1984,Shanghai,China,15.8,16.13
1985,Shanghai,China,16.04,16.04
1986,Shanghai,China,15.94,15.95428571
1987,Shanghai,China,16.19,16.04285714
1988,Shanghai,China,16.17,16.08
1989,Shanghai,China,16.24,16.08571429
1990,Shanghai,China,17.26,16.23428571
1991,Shanghai,China,16.14,16.28285714
1992,Shanghai,China,16.14,16.29714286
1993,Shanghai,China,15.98,16.30285714
1994,Shanghai,China,17.34,16.46714286
1995,Shanghai,China,16.36,16.49428571
1996,Shanghai,China,16.21,16.49
1997,Shanghai,China,16.76,16.41857143
1998,Shanghai,China,17.56,16.62142857
1999,Shanghai,China,16.68,16.69857143
2000,Shanghai,China,16.9,16.83
2001,Shanghai,China,16.93,16.77142857
2002,Shanghai,China,17.22,16.89428571
2003,Shanghai,China,16.74,16.97
2004,Shanghai,China,17.24,17.03857143
2005,Shanghai,China,16.75,16.92285714
2006,Shanghai,China,17.41,17.02714286
2007,Shanghai,China,17.63,17.13142857
2008,Shanghai,China,16.72,17.10142857
2009,Shanghai,China,17.01,17.07142857
2010,Shanghai,China,16.75,17.07285714
2011,Shanghai,China,16.52,16.97
2012,Shanghai,China,16.47,16.93
2013,Shanghai,China,17.86,16.99428571
